"Average Error","Error LB","Error UB","Abs. Worst"
0.0000000210,-0.0000000415,0.0000000412,0.0000000415
0.0000000192,-0.0000000382,0.0000000380,0.0000000382
0.0000000169,-0.0000000319,0.0000000338,0.0000000338
0.0000000164,-0.0000000381,0.0000000331,0.0000000381
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000166,-0.0000000349,0.0000000349,0.0000000349
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000147,-0.0000000310,0.0000000299,0.0000000310
0.0000000291,-0.0000000553,0.0000000551,0.0000000553
0.0000000252,-0.0000000576,0.0000000576,0.0000000576
0.0000000237,-0.0000000445,0.0000000447,0.0000000447
0.0000000000,0.0000000000,0.0000000000,0.0000000000
