"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 23:22:27 2019","BGRT","REL",0.0000000246,-0.0000000461,0.0000000569,0.0000000569,5,62
"Wed Jun  5 23:22:34 2019","BGRT","REL",0.0000000203,-0.0000000485,0.0000000418,0.0000000485,7,62
"Wed Jun  5 23:22:40 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,6,62
"Wed Jun  5 23:22:44 2019","BGRT","REL",0.0000000245,-0.0000000501,0.0000000566,0.0000000566,4,62
"Wed Jun  5 23:22:55 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,11,62
"Wed Jun  5 23:22:59 2019","BGRT","REL",0.0000000199,-0.0000000396,0.0000000412,0.0000000412,4,62
"Wed Jun  5 23:23:04 2019","BGRT","REL",0.0000000131,-0.0000000290,0.0000000283,0.0000000290,5,62
"Wed Jun  5 23:23:22 2019","BGRT","REL",0.0000000242,-0.0000000531,0.0000000569,0.0000000569,18,62
"Wed Jun  5 23:23:32 2019","BGRT","REL",0.0000000242,-0.0000000581,0.0000000568,0.0000000581,10,62
"Wed Jun  5 23:23:41 2019","BGRT","REL",0.0000000221,-0.0000000528,0.0000000474,0.0000000528,9,62
"Wed Jun  5 23:23:50 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,9,62
