"Average Error","Error LB","Error UB","Abs. Worst"
0.0000000228,-0.0000000567,0.0000000392,0.0000000567
0.0000000200,-0.0000000426,0.0000000529,0.0000000529
0.0000000237,-0.0000000568,0.0000000529,0.0000000568
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000203,-0.0000000567,0.0000000427,0.0000000567
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000234,-0.0000000512,0.0000000421,0.0000000512
0.0000000214,-0.0000000518,0.0000000497,0.0000000518
0.0000000202,-0.0000000472,0.0000000479,0.0000000479
0.0000000255,-0.0000000529,0.0000000575,0.0000000575
0.0000000213,-0.0000000525,0.0000000533,0.0000000533
0.0000000237,-0.0000000458,0.0000000556,0.0000000556
