"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 23:34:29 2019","BGRT","REL",0.0000000219,-0.0000000539,0.0000000538,0.0000000539,2,62
"Wed Jun  5 23:34:32 2019","BGRT","REL",0.0000000190,-0.0000000509,0.0000000322,0.0000000509,3,62
"Wed Jun  5 23:34:34 2019","BGRT","REL",0.0000000229,-0.0000000570,0.0000000432,0.0000000570,2,62
"Wed Jun  5 23:34:37 2019","BGRT","REL",0.0000000224,-0.0000000571,0.0000000549,0.0000000571,3,62
"Wed Jun  5 23:34:39 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 23:34:42 2019","BGRT","REL",0.0000000199,-0.0000000427,0.0000000436,0.0000000436,3,62
"Wed Jun  5 23:34:45 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,3,62
"Wed Jun  5 23:34:47 2019","BGRT","REL",0.0000000222,-0.0000000530,0.0000000584,0.0000000584,2,62
"Wed Jun  5 23:34:51 2019","BGRT","REL",0.0000000213,-0.0000000497,0.0000000497,0.0000000497,4,62
"Wed Jun  5 23:34:54 2019","BGRT","REL",0.0000000174,-0.0000000390,0.0000000441,0.0000000441,3,62
"Wed Jun  5 23:34:56 2019","BGRT","REL",0.0000000216,-0.0000000480,0.0000000456,0.0000000480,2,62
"Wed Jun  5 23:34:58 2019","BGRT","REL",0.0000000207,-0.0000000453,0.0000000534,0.0000000534,2,62
"Wed Jun  5 23:35:01 2019","BGRT","REL",0.0000000229,-0.0000000569,0.0000000551,0.0000000569,3,62
