"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 23:31:30 2019","BGRT","REL",0.0000000193,-0.0000000491,0.0000000472,0.0000000491,6,62
"Wed Jun  5 23:31:35 2019","BGRT","REL",0.0000000231,-0.0000000421,0.0000000495,0.0000000495,5,62
"Wed Jun  5 23:31:38 2019","BGRT","REL",0.0000000181,-0.0000000391,0.0000000368,0.0000000391,3,62
"Wed Jun  5 23:31:41 2019","BGRT","REL",0.0000000191,-0.0000000404,0.0000000551,0.0000000551,3,62
"Wed Jun  5 23:31:44 2019","BGRT","REL",0.0000000226,-0.0000000537,0.0000000444,0.0000000537,3,62
"Wed Jun  5 23:31:46 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 23:31:56 2019","BGRT","REL",0.0000000218,-0.0000000493,0.0000000508,0.0000000508,10,62
"Wed Jun  5 23:31:57 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,62
"Wed Jun  5 23:32:03 2019","BGRT","REL",0.0000000206,-0.0000000474,0.0000000574,0.0000000574,6,62
"Wed Jun  5 23:32:06 2019","BGRT","REL",0.0000000223,-0.0000000520,0.0000000509,0.0000000520,3,62
"Wed Jun  5 23:32:14 2019","BGRT","REL",0.0000000187,-0.0000000548,0.0000000512,0.0000000548,8,62
"Wed Jun  5 23:32:17 2019","BGRT","REL",0.0000000227,-0.0000000520,0.0000000581,0.0000000581,3,62
"Wed Jun  5 23:32:19 2019","BGRT","REL",0.0000000255,-0.0000000476,0.0000000564,0.0000000564,2,62
"Wed Jun  5 23:32:20 2019","BGRT","REL",0.0000000232,-0.0000000582,0.0000000585,0.0000000585,1,62
