"Average Error","Error LB","Error UB","Abs. Worst"
0.0000000191,-0.0000000410,0.0000000408,0.0000000410
0.0000000211,-0.0000000524,0.0000000513,0.0000000524
0.0000000219,-0.0000000383,0.0000000488,0.0000000488
0.0000000192,-0.0000000425,0.0000000549,0.0000000549
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000208,-0.0000000414,0.0000000418,0.0000000418
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000228,-0.0000000536,0.0000000572,0.0000000572
0.0000000219,-0.0000000439,0.0000000442,0.0000000442
0.0000000210,-0.0000000495,0.0000000575,0.0000000575
0.0000000227,-0.0000000522,0.0000000583,0.0000000583
0.0000000235,-0.0000000538,0.0000000498,0.0000000538
0.0000000214,-0.0000000561,0.0000000509,0.0000000561
