0 hermite_formula_-10000000.0000000_100000000.000000,"Average Error","Error LB","Error UB","Abs. Worst"
10 hermite_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
11 hermite_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
12 hermite_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
13 hermite_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
14 hermite_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
15 hermite_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
16 hermite_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
17 hermite_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
18 hermite_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1 hermite_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 hermite_formula_-10000000.0000000_100000000.000000,0.0000000016,0.0000000000,0.0000000989,0.0000000989
2 hermite_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 hermite_formula_-10000000.0000000_100000000.000000,0.0000000012,-0.0000000720,0.0000000000,0.0000000720
4 hermite_formula_-10000000.0000000_100000000.000000,0.0000000051,-0.0000000843,0.0000000899,0.0000000899
5 hermite_formula_-10000000.0000000_100000000.000000,0.0000000098,-0.0000000380,0.0000000356,0.0000000380
6 hermite_formula_-10000000.0000000_100000000.000000,0.0000000210,-0.0000000503,0.0000000518,0.0000000518
7 hermite_formula_-10000000.0000000_100000000.000000,0.0000000332,-0.0000000877,0.0000000729,0.0000000877
8 hermite_formula_-10000000.0000000_100000000.000000,0.0000000216,-0.0000000550,0.0000000428,0.0000000550
9 hermite_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
,0.0000000000,0.0000000000,0.0000000000,0.0000000000
