"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 23:35:14 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,3,62
"Wed Jun  5 23:35:17 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,3,62
"Wed Jun  5 23:35:20 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,3,62
"Wed Jun  5 23:35:24 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,4,62
"Wed Jun  5 23:35:27 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,3,62
"Wed Jun  5 23:35:31 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,4,62
"Wed Jun  5 23:35:40 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,9,62
"Wed Jun  5 23:35:50 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,10,62
"Wed Jun  5 23:35:56 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,5,62
"Wed Jun  5 23:35:58 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 23:36:01 2019","BGRT","REL",0.0000000016,0.0000000000,0.0000000989,0.0000000989,3,62
"Wed Jun  5 23:36:04 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 23:36:07 2019","BGRT","REL",0.0000000012,-0.0000000720,0.0000000000,0.0000000720,3,62
"Wed Jun  5 23:36:15 2019","BGRT","REL",0.0000000051,-0.0000000843,0.0000000899,0.0000000899,8,62
"Wed Jun  5 23:36:18 2019","BGRT","REL",0.0000000098,-0.0000000380,0.0000000356,0.0000000380,3,62
"Wed Jun  5 23:36:28 2019","BGRT","REL",0.0000000210,-0.0000000503,0.0000000518,0.0000000518,10,62
"Wed Jun  5 23:36:31 2019","BGRT","REL",0.0000000332,-0.0000000877,0.0000000729,0.0000000877,3,62
"Wed Jun  5 23:36:34 2019","BGRT","REL",0.0000000216,-0.0000000550,0.0000000428,0.0000000550,3,62
"Wed Jun  5 23:36:37 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,3,62
"Wed Jun  5 23:36:41 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,4,62
