"Average Error","Error LB","Error UB","Abs. Worst"
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000016,0.0000000000,0.0000000989,0.0000000989
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000012,-0.0000000720,0.0000000000,0.0000000720
0.0000000051,-0.0000000843,0.0000000899,0.0000000899
0.0000000098,-0.0000000380,0.0000000356,0.0000000380
0.0000000210,-0.0000000503,0.0000000518,0.0000000518
0.0000000332,-0.0000000877,0.0000000729,0.0000000877
0.0000000216,-0.0000000550,0.0000000428,0.0000000550
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
