0 laguerre_formula_-10000000.0000000_100000000.000000,"Average Error","Error LB","Error UB","Abs. Worst"
10 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000009,0.0000000000,0.0000000560,0.0000000560
11 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
12 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
13 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
14 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
15 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
16 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
17 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000008,0.0000000000,0.0000000473,0.0000000473
18 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000001,0.0000000000,0.0000000070,0.0000000070
1 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000162,-0.0000000565,0.0000000498,0.0000000565
19 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000005,0.0000000000,0.0000000314,0.0000000314
2 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000068,-0.0000001273,0.0000001162,0.0000001273
4 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000062,-0.0000000340,0.0000000540,0.0000000540
5 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000469,-0.0000000890,0.0000001576,0.0000001576
6 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000394,-0.0000001294,0.0000001329,0.0000001329
7 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000235,-0.0000000476,0.0000000471,0.0000000476
8 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000275,-0.0000000584,0.0000000954,0.0000000954
9 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
,0.0000000000,0.0000000000,0.0000000000,0.0000000000
