"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 23:41:46 2019","BGRT","REL",0.0000000193,-0.0000000443,0.0000000481,0.0000000481,2,62
"Wed Jun  5 23:41:48 2019","BGRT","REL",0.0000000193,-0.0000000490,0.0000000482,0.0000000490,2,62
"Wed Jun  5 23:41:49 2019","BGRT","REL",0.0000000203,-0.0000000550,0.0000000490,0.0000000550,1,62
"Wed Jun  5 23:41:52 2019","BGRT","REL",0.0000000207,-0.0000000519,0.0000000543,0.0000000543,3,62
"Wed Jun  5 23:41:55 2019","BGRT","REL",0.0000000224,-0.0000000473,0.0000000550,0.0000000550,3,62
"Wed Jun  5 23:41:57 2019","BGRT","REL",0.0000000232,-0.0000000572,0.0000000520,0.0000000572,2,62
"Wed Jun  5 23:41:58 2019","BGRT","REL",0.0000000246,-0.0000000578,0.0000000436,0.0000000578,1,62
"Wed Jun  5 23:42:00 2019","BGRT","REL",0.0000000193,-0.0000000502,0.0000000460,0.0000000502,2,62
"Wed Jun  5 23:42:03 2019","BGRT","REL",0.0000000211,-0.0000000525,0.0000000555,0.0000000555,3,62
"Wed Jun  5 23:42:05 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 23:42:16 2019","BGRT","REL",0.0000000236,-0.0000000586,0.0000000534,0.0000000586,11,62
"Wed Jun  5 23:42:18 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 23:42:27 2019","BGRT","REL",0.0000000203,-0.0000000574,0.0000000471,0.0000000574,9,62
"Wed Jun  5 23:42:29 2019","BGRT","REL",0.0000000190,-0.0000000451,0.0000000537,0.0000000537,2,62
"Wed Jun  5 23:42:31 2019","BGRT","REL",0.0000000194,-0.0000000411,0.0000000449,0.0000000449,2,62
"Wed Jun  5 23:42:34 2019","BGRT","REL",0.0000000231,-0.0000000547,0.0000000521,0.0000000547,3,62
"Wed Jun  5 23:42:39 2019","BGRT","REL",0.0000000261,-0.0000000491,0.0000000479,0.0000000491,5,62
"Wed Jun  5 23:42:44 2019","BGRT","REL",0.0000000212,-0.0000000529,0.0000000446,0.0000000529,5,62
"Wed Jun  5 23:42:46 2019","BGRT","REL",0.0000000118,-0.0000000546,0.0000000520,0.0000000546,2,62
"Wed Jun  5 23:42:52 2019","BGRT","REL",0.0000000147,-0.0000000499,0.0000000560,0.0000000560,6,62
