"Average Error","Error LB","Error UB","Abs. Worst"
0.0000000018,-0.0000000262,0.0000000444,0.0000000444
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000003,0.0000000000,0.0000000207,0.0000000207
0.0000000002,0.0000000000,0.0000000132,0.0000000132
0.0000000003,0.0000000000,0.0000000206,0.0000000206
0.0000000000,-0.0000000000,0.0000000000,0.0000000000
0.0000000004,0.0000000000,0.0000000240,0.0000000240
0.0000000004,0.0000000000,0.0000000278,0.0000000278
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000024,-0.0000000327,0.0000000309,0.0000000327
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000081,-0.0000000415,0.0000000367,0.0000000415
0.0000000210,-0.0000000563,0.0000000511,0.0000000563
0.0000000216,-0.0000000462,0.0000000429,0.0000000462
0.0000000240,-0.0000000475,0.0000000527,0.0000000527
0.0000000222,-0.0000000514,0.0000000447,0.0000000514
0.0000000232,-0.0000000530,0.0000000487,0.0000000530
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
