0 laguerre_formula_-10000.000000_10000.000000,"Average Error","Error LB","Error UB","Abs. Worst"
10 laguerre_formula_-10000.000000_10000.000000,0.0000000224,-0.0000000524,0.0000000494,0.0000000524
11 laguerre_formula_-10000.000000_10000.000000,0.0000000052,-0.0000000460,0.0000000497,0.0000000497
12 laguerre_formula_-10000.000000_10000.000000,0.0000000051,-0.0000000408,0.0000000405,0.0000000408
13 laguerre_formula_-10000.000000_10000.000000,0.0000000079,-0.0000000547,0.0000000407,0.0000000547
14 laguerre_formula_-10000.000000_10000.000000,0.0000000088,-0.0000000519,0.0000000413,0.0000000519
15 laguerre_formula_-10000.000000_10000.000000,0.0000000225,-0.0000000556,0.0000000483,0.0000000556
16 laguerre_formula_-10000.000000_10000.000000,0.0000000210,-0.0000000503,0.0000000551,0.0000000551
17 laguerre_formula_-10000.000000_10000.000000,0.0000000263,-0.0000000526,0.0000000563,0.0000000563
18 laguerre_formula_-10000.000000_10000.000000,0.0000000178,-0.0000000550,0.0000000412,0.0000000550
1 laguerre_formula_-10000.000000_10000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 laguerre_formula_-10000.000000_10000.000000,0.0000000205,-0.0000000491,0.0000000387,0.0000000491
2 laguerre_formula_-10000.000000_10000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 laguerre_formula_-10000.000000_10000.000000,0.0000000210,-0.0000000506,0.0000000453,0.0000000506
4 laguerre_formula_-10000.000000_10000.000000,0.0000000223,-0.0000000585,0.0000000483,0.0000000585
5 laguerre_formula_-10000.000000_10000.000000,0.0000000215,-0.0000000547,0.0000000501,0.0000000547
6 laguerre_formula_-10000.000000_10000.000000,0.0000000237,-0.0000000493,0.0000000468,0.0000000493
7 laguerre_formula_-10000.000000_10000.000000,0.0000000211,-0.0000000454,0.0000000496,0.0000000496
8 laguerre_formula_-10000.000000_10000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
9 laguerre_formula_-10000.000000_10000.000000,0.0000000028,-0.0000000543,0.0000000368,0.0000000543
,0.0000000026,-0.0000000380,0.0000000259,0.0000000380
