"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 23:55:25 2019","BGRT","REL",0.0000000224,-0.0000000524,0.0000000494,0.0000000524,2,62
"Wed Jun  5 23:55:27 2019","BGRT","REL",0.0000000052,-0.0000000460,0.0000000497,0.0000000497,2,62
"Wed Jun  5 23:55:28 2019","BGRT","REL",0.0000000051,-0.0000000408,0.0000000405,0.0000000408,1,62
"Wed Jun  5 23:55:30 2019","BGRT","REL",0.0000000079,-0.0000000547,0.0000000407,0.0000000547,2,62
"Wed Jun  5 23:55:32 2019","BGRT","REL",0.0000000088,-0.0000000519,0.0000000413,0.0000000519,2,62
"Wed Jun  5 23:55:37 2019","BGRT","REL",0.0000000225,-0.0000000556,0.0000000483,0.0000000556,5,62
"Wed Jun  5 23:55:38 2019","BGRT","REL",0.0000000210,-0.0000000503,0.0000000551,0.0000000551,1,62
"Wed Jun  5 23:55:40 2019","BGRT","REL",0.0000000263,-0.0000000526,0.0000000563,0.0000000563,2,62
"Wed Jun  5 23:55:41 2019","BGRT","REL",0.0000000178,-0.0000000550,0.0000000412,0.0000000550,1,62
"Wed Jun  5 23:55:43 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 23:55:44 2019","BGRT","REL",0.0000000205,-0.0000000491,0.0000000387,0.0000000491,1,62
"Wed Jun  5 23:55:47 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,3,62
"Wed Jun  5 23:55:49 2019","BGRT","REL",0.0000000210,-0.0000000506,0.0000000453,0.0000000506,2,62
"Wed Jun  5 23:55:50 2019","BGRT","REL",0.0000000223,-0.0000000585,0.0000000483,0.0000000585,1,62
"Wed Jun  5 23:55:52 2019","BGRT","REL",0.0000000215,-0.0000000547,0.0000000501,0.0000000547,2,62
"Wed Jun  5 23:55:53 2019","BGRT","REL",0.0000000237,-0.0000000493,0.0000000468,0.0000000493,1,62
"Wed Jun  5 23:55:56 2019","BGRT","REL",0.0000000211,-0.0000000454,0.0000000496,0.0000000496,3,62
"Wed Jun  5 23:55:58 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 23:55:59 2019","BGRT","REL",0.0000000028,-0.0000000543,0.0000000368,0.0000000543,1,62
"Wed Jun  5 23:56:01 2019","BGRT","REL",0.0000000026,-0.0000000380,0.0000000259,0.0000000380,2,62
