0 legendre_formula_-1.000000_1.000000,"Average Error","Error LB","Error UB","Abs. Worst"
13 legendre_formula_-1.000000_1.000000,0.0000000197,-0.0000000465,0.0000000555,0.0000000555
14 legendre_formula_-1.000000_1.000000,0.0000000221,-0.0000000477,0.0000000479,0.0000000479
15 legendre_formula_-1.000000_1.000000,0.0000000220,-0.0000000569,0.0000000562,0.0000000569
1 legendre_formula_-1.000000_1.000000,0.0000000226,-0.0000000480,0.0000000549,0.0000000549
18 legendre_formula_-1.000000_1.000000,0.0000000224,-0.0000000549,0.0000000545,0.0000000549
19 legendre_formula_-1.000000_1.000000,0.0000000226,-0.0000000566,0.0000000382,0.0000000566
20 legendre_formula_-1.000000_1.000000,0.0000000231,-0.0000000573,0.0000000446,0.0000000573
21 legendre_formula_-1.000000_1.000000,0.0000000225,-0.0000000480,0.0000000517,0.0000000517
23 legendre_formula_-1.000000_1.000000,0.0000000252,-0.0000000572,0.0000000571,0.0000000572
26 legendre_formula_-1.000000_1.000000,0.0000000233,-0.0000000556,0.0000000545,0.0000000556
2 legendre_formula_-1.000000_1.000000,0.0000000177,-0.0000000482,0.0000000379,0.0000000482
28 legendre_formula_-1.000000_1.000000,0.0000000200,-0.0000000432,0.0000000461,0.0000000461
31 legendre_formula_-1.000000_1.000000,0.0000000233,-0.0000000528,0.0000000457,0.0000000528
32 legendre_formula_-1.000000_1.000000,0.0000000202,-0.0000000425,0.0000000514,0.0000000514
33 legendre_formula_-1.000000_1.000000,0.0000000203,-0.0000000520,0.0000000489,0.0000000520
34 legendre_formula_-1.000000_1.000000,0.0000000200,-0.0000000546,0.0000000545,0.0000000546
35 legendre_formula_-1.000000_1.000000,0.0000000202,-0.0000000466,0.0000000489,0.0000000489
36 legendre_formula_-1.000000_1.000000,0.0000000225,-0.0000000567,0.0000000540,0.0000000567
3 legendre_formula_-1.000000_1.000000,0.0000000222,-0.0000000332,0.0000000474,0.0000000474
37 legendre_formula_-1.000000_1.000000,0.0000000212,-0.0000000516,0.0000000500,0.0000000516
38 legendre_formula_-1.000000_1.000000,0.0000000199,-0.0000000458,0.0000000436,0.0000000458
39 legendre_formula_-1.000000_1.000000,0.0000000224,-0.0000000481,0.0000000492,0.0000000492
40 legendre_formula_-1.000000_1.000000,0.0000000196,-0.0000000442,0.0000000490,0.0000000490
41 legendre_formula_-1.000000_1.000000,0.0000000233,-0.0000000502,0.0000000455,0.0000000502
42 legendre_formula_-1.000000_1.000000,0.0000000205,-0.0000000466,0.0000000529,0.0000000529
43 legendre_formula_-1.000000_1.000000,0.0000000197,-0.0000000490,0.0000000466,0.0000000490
44 legendre_formula_-1.000000_1.000000,0.0000000223,-0.0000000500,0.0000000521,0.0000000521
45 legendre_formula_-1.000000_1.000000,0.0000000185,-0.0000000538,0.0000000506,0.0000000538
4 legendre_formula_-1.000000_1.000000,0.0000000207,-0.0000000563,0.0000000531,0.0000000563
46 legendre_formula_-1.000000_1.000000,0.0000000249,-0.0000000489,0.0000000508,0.0000000508
47 legendre_formula_-1.000000_1.000000,0.0000000217,-0.0000000527,0.0000000492,0.0000000527
48 legendre_formula_-1.000000_1.000000,0.0000000192,-0.0000000403,0.0000000466,0.0000000466
49 legendre_formula_-1.000000_1.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
7 legendre_formula_-1.000000_1.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
8 legendre_formula_-1.000000_1.000000,0.0000000235,-0.0000000570,0.0000000442,0.0000000570
9 legendre_formula_-1.000000_1.000000,0.0000000199,-0.0000000483,0.0000000481,0.0000000483
,0.0000000265,-0.0000000519,0.0000000481,0.0000000519
