"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Tue May 21 15:58:23 2019","BGRT","REL",0.0000000040,-0.0000000040,-0.0000000040,0.0000000040,1,62
"Tue May 21 15:58:25 2019","BGRT","REL",0.0000000155,0.0000000155,0.0000000155,0.0000000155,2,62
"Tue May 21 15:58:27 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Tue May 21 15:58:28 2019","BGRT","REL",0.0000000313,-0.0000000313,-0.0000000313,0.0000000313,1,62
"Tue May 21 15:58:30 2019","BGRT","REL",0.0000000249,0.0000000249,0.0000000249,0.0000000249,2,62
"Tue May 21 15:58:31 2019","BGRT","REL",0.0000000175,-0.0000000175,-0.0000000175,0.0000000175,1,62
"Tue May 21 15:58:33 2019","BGRT","REL",0.0000000310,0.0000000310,0.0000000310,0.0000000310,2,62
"Tue May 21 15:58:35 2019","BGRT","REL",0.0000000226,-0.0000000226,-0.0000000226,0.0000000226,2,62
"Tue May 21 15:58:37 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Tue May 21 15:58:38 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,62
"Tue May 21 15:58:39 2019","BGRT","REL",0.0000000037,0.0000000037,0.0000000037,0.0000000037,1,62
"Tue May 21 15:58:41 2019","BGRT","REL",0.0000000012,-0.0000000012,-0.0000000012,0.0000000012,2,62
"Tue May 21 15:58:43 2019","BGRT","REL",0.0000000178,0.0000000178,0.0000000178,0.0000000178,2,62
"Tue May 21 15:58:44 2019","BGRT","REL",0.0000000081,-0.0000000081,-0.0000000081,0.0000000081,1,62
"Tue May 21 15:58:46 2019","BGRT","REL",0.0000000199,-0.0000000199,-0.0000000199,0.0000000199,2,62
"Tue May 21 15:58:47 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,62
"Tue May 21 15:58:49 2019","BGRT","REL",0.0000000290,-0.0000000290,-0.0000000290,0.0000000290,2,62
"Tue May 21 15:58:51 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Tue May 21 15:58:52 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,62
"Tue May 21 15:58:54 2019","BGRT","REL",0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,2,62
"Tue May 21 15:58:55 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,62
"Tue May 21 15:58:56 2019","BGRT","REL",0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,1,62
"Tue May 21 15:58:57 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,62
"Tue May 21 15:58:59 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Tue May 21 15:59:01 2019","BGRT","REL",0.0000000246,-0.0000000246,-0.0000000246,0.0000000246,2,62
