"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Tue May 21 16:14:04 2019","BGRT","REL",0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,1,62
"Tue May 21 16:14:05 2019","BGRT","REL",0.0000000087,0.0000000087,0.0000000087,0.0000000087,1,62
"Tue May 21 16:14:07 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Tue May 21 16:14:08 2019","BGRT","REL",0.0000000086,0.0000000086,0.0000000086,0.0000000086,1,62
"Tue May 21 16:14:09 2019","BGRT","REL",0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,1,62
"Tue May 21 16:14:10 2019","BGRT","REL",0.0000000462,0.0000000462,0.0000000462,0.0000000462,1,62
"Tue May 21 16:14:11 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,62
"Tue May 21 16:14:13 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Tue May 21 16:14:16 2019","BGRT","REL",0.0000000322,-0.0000000322,-0.0000000322,0.0000000322,3,62
"Tue May 21 16:14:17 2019","BGRT","REL",0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,1,62
"Tue May 21 16:14:19 2019","BGRT","REL",0.0000000351,-0.0000000351,-0.0000000351,0.0000000351,2,62
"Tue May 21 16:14:20 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,62
"Tue May 21 16:14:21 2019","BGRT","REL",0.0000000475,-0.0000000475,-0.0000000475,0.0000000475,1,62
"Tue May 21 16:14:23 2019","BGRT","REL",0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,2,62
"Tue May 21 16:14:25 2019","BGRT","REL",0.0000000514,-0.0000000514,-0.0000000514,0.0000000514,2,62
"Tue May 21 16:14:26 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,62
"Tue May 21 16:14:28 2019","BGRT","REL",0.0000000073,0.0000000073,0.0000000073,0.0000000073,2,62
"Tue May 21 16:14:30 2019","BGRT","REL",0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,2,62
"Tue May 21 16:14:31 2019","BGRT","REL",0.0000000289,0.0000000289,0.0000000289,0.0000000289,1,62
"Tue May 21 16:14:33 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Tue May 21 16:14:34 2019","BGRT","REL",0.0000000143,0.0000000143,0.0000000143,0.0000000143,1,62
"Tue May 21 16:14:35 2019","BGRT","REL",0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,1,62
"Tue May 21 16:14:36 2019","BGRT","REL",0.0000000278,-0.0000000278,-0.0000000278,0.0000000278,1,62
"Tue May 21 16:14:39 2019","BGRT","REL",0.0000000338,0.0000000338,0.0000000338,0.0000000338,3,62
"Tue May 21 16:14:40 2019","BGRT","REL",0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,1,62
"Tue May 21 16:14:41 2019","BGRT","REL",0.0000000414,-0.0000000414,-0.0000000414,0.0000000414,1,62
"Tue May 21 16:14:43 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Tue May 21 16:14:44 2019","BGRT","REL",0.0000000092,-0.0000000092,-0.0000000092,0.0000000092,1,62
"Tue May 21 16:14:45 2019","BGRT","REL",0.0000000136,-0.0000000136,-0.0000000136,0.0000000136,1,62
"Tue May 21 16:14:46 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,62
"Tue May 21 16:14:47 2019","BGRT","REL",0.0000000049,-0.0000000049,-0.0000000049,0.0000000049,1,62
"Tue May 21 16:14:49 2019","BGRT","REL",0.0000000128,0.0000000128,0.0000000128,0.0000000128,1,62
"Tue May 21 16:14:50 2019","BGRT","REL",0.0000000135,0.0000000135,0.0000000135,0.0000000135,1,62
"Tue May 21 16:14:51 2019","BGRT","REL",0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,1,62
"Tue May 21 16:14:53 2019","BGRT","REL",0.0000000289,0.0000000289,0.0000000289,0.0000000289,2,62
"Tue May 21 16:14:55 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Tue May 21 16:14:56 2019","BGRT","REL",0.0000000030,-0.0000000030,-0.0000000030,0.0000000030,1,62
"Tue May 21 16:14:58 2019","BGRT","REL",0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,2,62
