0 legendre_formula_-1.000000_1.000000,"Average Error","Error LB","Error UB","Abs. Worst"
13 legendre_formula_-1.000000_1.000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000
14 legendre_formula_-1.000000_1.000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000
15 legendre_formula_-1.000000_1.000000,0.0000000683,-0.0000000683,-0.0000000683,0.0000000683
1 legendre_formula_-1.000000_1.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
18 legendre_formula_-1.000000_1.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 legendre_formula_-1.000000_1.000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000
20 legendre_formula_-1.000000_1.000000,0.0000000207,-0.0000000207,-0.0000000207,0.0000000207
21 legendre_formula_-1.000000_1.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
23 legendre_formula_-1.000000_1.000000,0.0000000771,0.0000000771,0.0000000771,0.0000000771
26 legendre_formula_-1.000000_1.000000,0.0000000965,-0.0000000965,-0.0000000965,0.0000000965
2 legendre_formula_-1.000000_1.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
28 legendre_formula_-1.000000_1.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
31 legendre_formula_-1.000000_1.000000,0.0000000997,-0.0000000997,-0.0000000997,0.0000000997
32 legendre_formula_-1.000000_1.000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000
33 legendre_formula_-1.000000_1.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
34 legendre_formula_-1.000000_1.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
35 legendre_formula_-1.000000_1.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
36 legendre_formula_-1.000000_1.000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000
3 legendre_formula_-1.000000_1.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
37 legendre_formula_-1.000000_1.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
38 legendre_formula_-1.000000_1.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
39 legendre_formula_-1.000000_1.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
40 legendre_formula_-1.000000_1.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
41 legendre_formula_-1.000000_1.000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000
42 legendre_formula_-1.000000_1.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
43 legendre_formula_-1.000000_1.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
44 legendre_formula_-1.000000_1.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
45 legendre_formula_-1.000000_1.000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000
4 legendre_formula_-1.000000_1.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
46 legendre_formula_-1.000000_1.000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000
47 legendre_formula_-1.000000_1.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
48 legendre_formula_-1.000000_1.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
49 legendre_formula_-1.000000_1.000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000
7 legendre_formula_-1.000000_1.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
8 legendre_formula_-1.000000_1.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
9 legendre_formula_-1.000000_1.000000,0.0000000738,0.0000000738,0.0000000738,0.0000000738
,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000
