"Average Error","Error LB","Error UB","Abs. Worst"
0.0000000000,-0.0000000000,-0.0000000000,0.0000000000
0.0000000000,-0.0000000000,-0.0000000000,0.0000000000
0.0000000683,-0.0000000683,-0.0000000683,0.0000000683
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,-0.0000000000,-0.0000000000,0.0000000000
0.0000000207,-0.0000000207,-0.0000000207,0.0000000207
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000771,0.0000000771,0.0000000771,0.0000000771
0.0000000965,-0.0000000965,-0.0000000965,0.0000000965
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000997,-0.0000000997,-0.0000000997,0.0000000997
0.0000000000,-0.0000000000,-0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,-0.0000000000,-0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,-0.0000000000,-0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,-0.0000000000,-0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,-0.0000000000,-0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,-0.0000000000,-0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000738,0.0000000738,0.0000000738,0.0000000738
0.0000000000,-0.0000000000,-0.0000000000,0.0000000000
